Player,Team,Position,Salary,Years,Total Value,Average Annual
"Benintendi, Andrew",CWS,OF,"$17,100,000",5,"$75,000,000","$15,000,000"
"Machado, Manny",SD,3B,"$17,090,909",11,"$350,000,000","$31,818,182"
"Acuna Jr., Ronald",ATL,OF,"$17,000,000",8,"$100,000,000","$12,500,000"
"Ramirez, Jose",CLE,3B,"$17,000,000",7,"$141,000,000","$20,142,857.14"
"Haniger, Mitch",SEA,OF,"$17,000,000",3,"$43,500,000","$14,500,000"
"Eovaldi, Nathan",TEX,RHP,"$17,000,000",2,"$34,000,000","$17,000,000"
"Rizzo, Anthony",NYY,1B,"$17,000,000",2,"$40,000,000","$20,000,000"
"Hendricks, Kyle",CHC,RHP,"$16,500,000",1,"$16,500,000","$16,500,000"
"Bell, Josh",MIA,1B,"$16,500,000",2,"$33,000,000","$16,500,000"
"Iglesias, Raisel",ATL,RHP,"$16,000,000",4,"$58,000,000","$14,500,000"
"Sale, Chris",ATL,LHP,"$16,000,000",2,"$38,000,000","$18,000,000"
"Darvish, Yu",SD,RHP,"$16,000,000",6,"$108,000,000","$18,000,000"
"Jansen, Kenley",BOS,RHP,"$16,000,000",2,"$32,000,000","$16,000,000"
"Montas, Frankie",CIN,RHP,"$16,000,000",1,"$16,000,000","$16,000,000"
"Wacha, Michael",KC,RHP,"$16,000,000",2,"$32,000,000","$16,000,000"
"Senga, Kodai",NYM,RHP,"$15,666,667",5,"$75,000,000","$15,000,000"
"Burnes, Corbin",BAL,RHP,"$15,637,500",1,"$15,637,500","$15,637,500"
"Buxton, Byron",MIN,OF,"$15,142,857",7,"$100,000,000","$14,285,714.29"
"Fried, Max",ATL,LHP,"$15,000,000",1,"$15,000,000","$15,000,000"
"Glasnow, Tyler",LAD,RHP,"$15,000,000",5,"$136,562,500","$27,312,500"
"Freeland, Kyle",COL,LHP,"$15,000,000",5,"$64,500,000","$12,900,000"
"Lugo, Seth",KC,RHP,"$15,000,000",3,"$45,000,000","$15,000,000"
"LeMahieu, DJ",NYY,3B,"$15,000,000",6,"$90,000,000","$15,000,000"
"Manaea, Sean",NYM,LHP,"$14,500,000",2,"$28,000,000","$14,000,000"
"Torres, Gleyber",NYY,2B,"$14,200,000",1,"$14,200,000","$14,200,000"
"Pressly, Ryan",HOU,RHP,"$14,000,000",2,"$30,000,000","$15,000,000"
"Rodriguez, Eduardo",ARI,LHP,"$14,000,000",4,"$80,000,000","$20,000,000"
"Martinez, Nick",CIN,RHP,"$14,000,000",2,"$26,000,000","$13,000,000"
"Flaherty, Jack",DET,RHP,"$14,000,000",1,"$14,000,000","$14,000,000"
"Maeda, Kenta",DET,RHP,"$14,000,000",2,"$24,000,000","$12,000,000"
"Jimenez, Eloy",CWS,DH,"$13,833,333",6,"$43,000,000","$7,166,666.67"
"Marte, Ketel",ARI,2B,"$13,600,000",5,"$76,000,000","$15,200,000"
"Smith, Will",LAD,C,"$13,550,000",10,"$140,000,000","$14,000,000"
"Bieber, Shane",CLE,RHP,"$13,125,000",1,"$13,125,000","$13,125,000"
"Anderson, Tyler",LAA,LHP,"$13,000,000",3,"$39,000,000","$13,000,000"
"Turner, Justin",TOR,DH,"$13,000,000",1,"$13,000,000","$13,000,000"
"Taylor, Chris",LAD,OF,"$13,000,000",4,"$60,000,000","$15,000,000"
"Quintana, Jose",NYM,LHP,"$13,000,000",2,"$26,000,000","$13,000,000"
"Severino, Luis",NYM,RHP,"$13,000,000",1,"$13,000,000","$13,000,000"
"Gray, Jon",TEX,RHP,"$13,000,000",4,"$56,000,000","$14,000,000"
"Heaney, Andrew",TEX,LHP,"$13,000,000",2,"$25,000,000","$12,500,000"
"Candelario, Jeimer",CIN,3B,"$13,000,000",3,"$45,000,000","$15,000,000"
"Blackmon, Charlie",COL,DH,"$13,000,000",1,"$13,000,000","$13,000,000"
"Stripling, Ross",OAK,RHP,"$12,500,000",2,"$25,000,000","$12,500,000"
"Matz, Steven",STL,LHP,"$12,500,000",4,"$44,000,000","$11,000,000"
"Robert Jr., Luis",CWS,OF,"$12,500,000",6,"$50,000,000","$8,333,333.33"
"Adames, Willy",MIL,SS,"$12,250,000",1,"$12,250,000","$12,250,000"
"Rodriguez, Julio",SEA,OF,"$12,185,714",12,"$209,300,000","$17,441,667"
"Valdez, Framber",HOU,LHP,"$12,100,000",1,"$12,100,000","$12,100,000"
"Bichette, Bo",TOR,SS,"$12,083,333",3,"$33,600,000","$11,200,000"
"Tucker, Kyle",HOU,OF,"$12,000,000",1,"$12,000,000","$12,000,000"
