Player,Team,Position,Salary,Years,Total Value,Average Annual
"India, Jonathan",CIN,2B,"$3,800,000",2,"$8,800,000","$4,400,000"
"Urquidy, Jose",HOU,RHP,"$3,750,000",1,"$3,750,000","$3,750,000"
"Carroll, Corbin",ARI,OF,"$3,625,000",8,"$111,000,000","$13,875,000"
"Berti, Jon",NYY,INF,"$3,625,000",1,"$3,625,000","$3,625,000"
"McClanahan, Shane",TB,LHP,"$3,600,000",1,"$3,600,000","$3,600,000"
"Mayza, Tim",TOR,LHP,"$3,590,000",1,"$3,590,000","$3,590,000"
"Dubon, Mauricio",HOU,2B,"$3,500,000",1,"$3,500,000","$3,500,000"
"Rea, Colin",MIL,RHP,"$3,500,000",1,"$3,500,000","$3,500,000"
"Barnes, Austin",LAD,C,"$3,500,000",1,"$3,500,000","$3,500,000"
"Wade, LaMonte",SF,1B,"$3,500,000",1,"$3,500,000","$3,500,000"
"O'Hearn, Ryan",BAL,1B,"$3,500,000",1,"$3,500,000","$3,500,000"
"Whitlock, Garrett",BOS,RHP,"$3,500,000",4,"$18,750,000","$4,687,500"
"Stratton, Chris",KC,RHP,"$3,500,000",2,"$8,000,000","$4,000,000"
"Kelly, Carson",DET,C,"$3,500,000",1,"$3,500,000","$3,500,000"
"Blackburn, Paul",OAK,RHP,"$3,450,000",1,"$3,450,000","$3,450,000"
"Paredes, Isaac",TB,3B,"$3,400,000",1,"$3,400,000","$3,400,000"
"Peralta, Wandy",SD,LHP,"$3,350,000",4,"$16,500,000","$4,125,000"
"Greene, Hunter",CIN,RHP,"$3,333,333",6,"$53,000,000","$8,833,333"
"Means, John",BAL,LHP,"$3,325,000",1,"$3,325,000","$3,325,000"
"Dunning, Dane",TEX,RHP,"$3,325,000",1,"$3,325,000","$3,325,000"
"Castro, Willi",MIN,OF,"$3,300,000",1,"$3,300,000","$3,300,000"
"Matsui, Yuki",SD,LHP,"$3,250,000",5,"$28,000,000","$5,600,000"
"Vaughn, Andrew",CWS,1B,"$3,250,000",1,"$3,250,000","$3,250,000"
"Thielbar, Caleb",MIN,LHP,"$3,225,000",1,"$3,225,000","$3,225,000"
"Rogers, Tyler",SF,RHP,"$3,200,000",1,"$3,200,000","$3,200,000"
"Tellez, Rowdy",PIT,1B,"$3,200,000",1,"$3,200,000","$3,200,000"
"Rodgers, Brendan",COL,2B,"$3,200,000",1,"$3,200,000","$3,200,000"
"King, Michael",SD,RHP,"$3,150,000",1,"$3,150,000","$3,150,000"
"Gomber, Austin",COL,LHP,"$3,150,000",1,"$3,150,000","$3,150,000"
"Moore, Dylan",SEA,OF,"$3,133,333",1,"$3,133,333","$3,133,333"
"Witt Jr., Bobby",KC,SS,"$3,111,111",11,"$288,777,777","$26,252,525"
"Rojas, Josh",SEA,3B,"$3,100,000",1,"$3,100,000","$3,100,000"
"Heim, Jonah",TEX,C,"$3,050,000",1,"$3,050,000","$3,050,000"
"Duvall, Adam",ATL,OF,"$3,000,000",1,"$3,000,000","$3,000,000"
"Sanchez, Gary",MIL,C,"$3,000,000",1,"$3,000,000","$3,000,000"
"McGough, Scott",ARI,RHP,"$3,000,000",2,"$6,250,000","$3,125,000"
"Maile, Luke",CIN,C,"$3,000,000",1,"$3,000,000","$3,000,000"
"Miller, Shelby",DET,RHP,"$3,000,000",1,"$3,000,000","$3,000,000"
"Kopech, Michael",CWS,RHP,"$3,000,000",1,"$3,000,000","$3,000,000"
"Soroka, Michael",CWS,RHP,"$3,000,000",1,"$3,000,000","$3,000,000"
"Clase, Emmanuel",CLE,RHP,"$2,900,000",1,"$2,900,000","$2,900,000"
"McCormick, Chas",HOU,OF,"$2,850,000",1,"$2,850,000","$2,850,000"
"Sims, Lucas",CIN,RHP,"$2,850,000",1,"$2,850,000","$2,850,000"
"Keith, Colt",DET,2B,"$2,833,333",6,"$28,642,500","$4,773,750"
"Kirk, Alejandro",TOR,C,"$2,800,000",1,"$2,800,000","$2,800,000"
"Swanson, Erik",TOR,RHP,"$2,750,000",1,"$2,750,000","$2,750,000"
"Trevino, Jose",NYY,C,"$2,730,000",1,"$2,730,000","$2,730,000"
"Wisdom, Patrick",CHC,OF,"$2,725,000",1,"$2,725,000","$2,725,000"
"Espinal, Santiago",CIN,INF,"$2,725,000",1,"$2,725,000","$2,725,000"
"Graterol, Brusdar",LAD,RHP,"$2,700,000",1,"$2,700,000","$2,700,000"
"Mateo, Jorge",BAL,2B,"$2,700,000",1,"$2,700,000","$2,700,000"
"Adam, Jason",TB,RHP,"$2,700,000",1,"$2,700,000","$2,700,000"
"Robles, Victor",WSH,OF,"$2,650,000",1,"$2,650,000","$2,650,000"
"Skubal, Tarik",DET,LHP,"$2,650,000",1,"$2,650,000","$2,650,000"
"Chisholm Jr., Jazz",MIA,OF,"$2,625,000",1,"$2,625,000","$2,625,000"
"Canning, Griffin",LAA,RHP,"$2,600,000",1,"$2,600,000","$2,600,000"
"Brown, Seth",OAK,OF,"$2,600,000",1,"$2,600,000","$2,600,000"
"Taveras, Leody",TEX,OF,"$2,550,000",1,"$2,550,000","$2,550,000"
"Stephenson, Tyler",CIN,C,"$2,525,000",1,"$2,525,000","$2,525,000"
"Paddack, Chris",MIN,RHP,"$2,525,000",3,"$12,525,000","$4,175,000"
"Davis, J.D.",OAK,3B,"$2,500,000",1,"$2,500,000","$2,500,000"
"Woodruff, Brandon",MIL,RHP,"$2,500,000",2,"$22,000,000","$11,000,000"
"Gallo, Joey",WSH,OF,"$2,500,000",1,"$2,500,000","$2,500,000"
"Grandal, Yasmani",PIT,C,"$2,500,000",1,"$2,500,000","$2,500,000"
"Suter, Brent",CIN,LHP,"$2,500,000",1,"$2,500,000","$2,500,000"
"Loaisiga, Jonathan",NYY,RHP,"$2,500,000",1,"$2,500,000","$2,500,000"
"Franco, Wander",TB,SS,"$2,454,545",11,"$182,000,000","$16,545,454.55"
"Jeffers, Ryan",MIN,C,"$2,425,000",1,"$2,425,000","$2,425,000"
"Ferguson, Caleb",NYY,LHP,"$2,400,000",1,"$2,400,000","$2,400,000"
"Poche, Colin",TB,LHP,"$2,375,000",1,"$2,375,000","$2,375,000"
"Carlson, Dylan",STL,OF,"$2,350,000",1,"$2,350,000","$2,350,000"
"Bubic, Kris",KC,LHP,"$2,350,000",1,"$2,350,000","$2,350,000"
"Harvey, Hunter",WSH,RHP,"$2,325,000",1,"$2,325,000","$2,325,000"
"Coulombe, Danny",BAL,LHP,"$2,300,000",1,"$2,300,000","$2,300,000"
"Brubaker, JT",PIT,RHP,"$2,275,000",1,"$2,275,000","$2,275,000"
"Kittredge, Andrew",STL,RHP,"$2,262,500",1,"$2,262,500","$2,262,500"
"Alexander, Scott",OAK,LHP,"$2,250,000",1,"$2,250,000","$2,250,000"
"Chourio, Jackson",MIL,OF,"$2,250,000",8,"$82,000,000","$10,250,000"
"Floro, Dylan",WSH,RHP,"$2,250,000",1,"$2,250,000","$2,250,000"
"Farmer, Buck",CIN,RHP,"$2,250,000",1,"$2,250,000","$2,250,000"
"Smith, Drew",NYM,RHP,"$2,225,000",1,"$2,225,000","$2,225,000"
"Hoffman, Jeff",PHI,RHP,"$2,200,000",1,"$2,200,000","$2,200,000"
"Munoz, Andres",SEA,RHP,"$2,187,500",4,"$7,500,000","$1,875,000"
"Higashioka, Kyle",SD,C,"$2,180,000",1,"$2,180,000","$2,180,000"
"Richards, Trevor",TOR,RHP,"$2,150,000",1,"$2,150,000","$2,150,000"
"Peterson, David",NYM,LHP,"$2,150,000",1,"$2,150,000","$2,150,000"
"Fraley, Jake",CIN,OF,"$2,150,000",1,"$2,150,000","$2,150,000"
"May, Dustin",LAD,RHP,"$2,135,000",1,"$2,135,000","$2,135,000"
"Joe, Connor",PIT,OF,"$2,125,000",1,"$2,125,000","$2,125,000"
"Alzolay, Adbert",CHC,RHP,"$2,110,000",1,"$2,110,000","$2,110,000"
"Sanchez, Jesus",MIA,OF,"$2,100,000",1,"$2,100,000","$2,100,000"
"Urias, Ramon",BAL,3B,"$2,100,000",1,"$2,100,000","$2,100,000"
"Milner, Hoby",MIL,LHP,"$2,050,000",1,"$2,050,000","$2,050,000"
"Bethancourt, Christian",MIA,C,"$2,050,000",1,"$2,050,000","$2,050,000"
"Armstrong, Shawn",TB,RHP,"$2,050,000",1,"$2,050,000","$2,050,000"
"Taylor, Tyrone",NYM,OF,"$2,025,000",1,"$2,025,000","$2,025,000"
"Schmidt, Clarke",NYY,RHP,"$2,025,000",1,"$2,025,000","$2,025,000"
"Carrasco, Carlos",CLE,RHP,"$2,000,000",1,"$2,000,000","$2,000,000"
"Barnes, Matt",WSH,RHP,"$2,000,000",1,"$2,000,000","$2,000,000"
"Winker, Jesse",WSH,OF,"$2,000,000",1,"$2,000,000","$2,000,000"
"Vogelbach, Daniel",TOR,DH,"$2,000,000",1,"$2,000,000","$2,000,000"
"Arcia, Orlando",ATL,SS,"$2,000,000",3,"$7,300,000","$2,433,333"
"Crawford, Brandon",STL,SS,"$2,000,000",1,"$2,000,000","$2,000,000"
"Hudson, Daniel",LAD,RHP,"$2,000,000",1,"$2,000,000","$2,000,000"
"Lopez, Jorge",NYM,RHP,"$2,000,000",1,"$2,000,000","$2,000,000"
"Wendle, Joey",NYM,INF,"$2,000,000",1,"$2,000,000","$2,000,000"
"Senzel, Nick",WSH,3B,"$2,000,000",1,"$2,000,000","$2,000,000"
"Irvin, Cole",BAL,LHP,"$2,000,000",1,"$2,000,000","$2,000,000"
"Turnbull, Spencer",PHI,RHP,"$2,000,000",1,"$2,000,000","$2,000,000"
"Hendriks, Liam",BOS,RHP,"$2,000,000",2,"$10,000,000","$5,000,000"
"Rodriguez, Joely",BOS,LHP,"$2,000,000",1,"$2,000,000","$2,000,000"
"Frazier, Adam",KC,2B,"$2,000,000",1,"$2,000,000","$2,000,000"
"Hampson, Garrett",KC,2B,"$2,000,000",1,"$2,000,000","$2,000,000"
"Weaver, Luke",NYY,RHP,"$2,000,000",1,"$2,000,000","$2,000,000"
"Wells, Tyler",BAL,RHP,"$1,962,500",1,"$1,962,500","$1,962,500"
"Tauchman, Michael",CHC,OF,"$1,950,000",1,"$1,950,000","$1,950,000"
"Garcia Jr., Luis",WSH,2B,"$1,950,000",1,"$1,950,000","$1,950,000"
"Alexander, Tyler",TB,LHP,"$1,950,000",1,"$1,950,000","$1,950,000"
"Matzek, Tyler",ATL,LHP,"$1,900,000",1,"$1,900,000","$1,900,000"
"Almonte, Yency",CHC,RHP,"$1,900,000",1,"$1,900,000","$1,900,000"
"Karinchak, James",CLE,RHP,"$1,900,000",1,"$1,900,000","$1,900,000"
"Garcia, Luis",HOU,RHP,"$1,875,000",1,"$1,875,000","$1,875,000"
"Rasmussen, Drew",TB,RHP,"$1,862,500",1,"$1,862,500","$1,862,500"
"Littell, Zack",TB,RHP,"$1,850,000",1,"$1,850,000","$1,850,000"
"Refsnyder, Rob",BOS,OF,"$1,850,000",1,"$1,850,000","$1,850,000"
"Knizner, Andrew",TEX,C,"$1,825,000",1,"$1,825,000","$1,825,000"
"Madrigal, Nick",CHC,INF,"$1,810,000",1,"$1,810,000","$1,810,000"
"Puk, A.J.",MIA,LHP,"$1,800,000",1,"$1,800,000","$1,800,000"
"Wright, Kyle",KC,RHP,"$1,800,000",1,"$1,800,000","$1,800,000"
"Hill, Tim",CWS,LHP,"$1,800,000",1,"$1,800,000","$1,800,000"
"Cooper, Garrett",CHC,1B,"$1,750,000",1,"$1,750,000","$1,750,000"
"Urena, Jose",TEX,RHP,"$1,750,000",1,"$1,750,000","$1,750,000"
"Cisnero, Jose",LAA,RHP,"$1,750,000",1,"$1,750,000","$1,750,000"
"Abreu, Bryan",HOU,RHP,"$1,750,000",1,"$1,750,000","$1,750,000"
"DeJong, Paul",CWS,SS,"$1,750,000",1,"$1,750,000","$1,750,000"
"Flexen, Chris",CWS,RHP,"$1,750,000",1,"$1,750,000","$1,750,000"
"Andujar, Miguel",OAK,OF,"$1,700,000",1,"$1,700,000","$1,700,000"
"Sosa, Edmundo",PHI,INF,"$1,700,000",1,"$1,700,000","$1,700,000"
"Jankowski, Travis",TEX,OF,"$1,700,000",1,"$1,700,000","$1,700,000"
"Rogers, Jake",DET,C,"$1,700,000",1,"$1,700,000","$1,700,000"
"Beeks, Jalen",COL,LHP,"$1,675,000",1,"$1,675,000","$1,675,000"
"Cimber, Adam",LAA,RHP,"$1,650,000",1,"$1,650,000","$1,650,000"
"Payamps, Joel",MIL,RHP,"$1,650,000",1,"$1,650,000","$1,650,000"
"McKenzie, Triston",CLE,RHP,"$1,600,000",1,"$1,600,000","$1,600,000"
"Stephan, Trevor",CLE,RHP,"$1,600,000",4,"$10,000,000","$2,500,000"
"Borucki, Ryan",PIT,LHP,"$1,600,000",1,"$1,600,000","$1,600,000"
"Anderson, Nick",KC,RHP,"$1,575,000",1,"$1,575,000","$1,575,000"
"Rogers, Trevor",MIA,LHP,"$1,530,000",1,"$1,530,000","$1,530,000"
"Cabrera, Genesis",TOR,LHP,"$1,512,500",1,"$1,512,500","$1,512,500"
"Law, Derek",WSH,RHP,"$1,500,000",1,"$1,500,000","$1,500,000"
"Wilson, Justin",CIN,LHP,"$1,500,000",1,"$1,500,000","$1,500,000"
"Leone, Dominic",CWS,RHP,"$1,500,000",1,"$1,500,000","$1,500,000"
"Gott, Trevor",OAK,RHP,"$1,500,000",1,"$1,500,000","$1,500,000"
"Ross, Joe",MIL,RHP,"$1,500,000",1,"$1,500,000","$1,500,000"
"Leiter Jr., Mark",CHC,RHP,"$1,500,000",1,"$1,500,000","$1,500,000"
"Grichuk, Randal",ARI,OF,"$1,500,000",1,"$1,500,000","$1,500,000"
"Rainey, Tanner",WSH,RHP,"$1,500,000",1,"$1,500,000","$1,500,000"
"Tate, Dillon",BAL,RHP,"$1,500,000",1,"$1,500,000","$1,500,000"
"Rosario, Amed",TB,INF,"$1,500,000",1,"$1,500,000","$1,500,000"
"McGuire, Reese",BOS,C,"$1,500,000",1,"$1,500,000","$1,500,000"
"Hudson, Dakota",COL,RHP,"$1,500,000",1,"$1,500,000","$1,500,000"
"Stallings, Jacob",COL,C,"$1,500,000",1,"$1,500,000","$1,500,000"
"Tovar, Ezequiel",COL,SS,"$1,500,000",7,"$63,500,000","$9,071,428"
"Urshela, Gio",DET,3B,"$1,500,000",1,"$1,500,000","$1,500,000"
"Trivino, Lou",NYY,RHP,"$1,500,000",1,"$1,500,000","$1,500,000"
"Stewart, DJ",NYM,OF,"$1,380,000",1,"$1,380,000","$1,380,000"
"Bauers, Jake",MIL,1B,"$1,350,000",1,"$1,350,000","$1,350,000"
"Thompson, Ryan",ARI,RHP,"$1,350,000",1,"$1,350,000","$1,350,000"
"Olivares, Edward",PIT,OF,"$1,350,000",1,"$1,350,000","$1,350,000"
"Kirilloff, Alex",MIN,INF,"$1,350,000",1,"$1,350,000","$1,350,000"
"Kinley, Tyler",COL,RHP,"$1,300,000",1,"$1,300,000","$1,300,000"
"Jackson, Jay",MIN,RHP,"$1,300,000",1,"$1,300,000","$1,300,000"
"Chargois, JT",MIA,RHP,"$1,285,000",1,"$1,285,000","$1,285,000"
"Toro, Abraham",OAK,INF,"$1,275,000",1,"$1,275,000","$1,275,000"
"Walsh, Jared",TEX,1B,"$1,250,000",1,"$1,250,000","$1,250,000"
"Clarke, Taylor",MIL,RHP,"$1,250,000",1,"$1,250,000","$1,250,000"
"Voth, Austin",SEA,RHP,"$1,250,000",1,"$1,250,000","$1,250,000"
"Anderson, Chase",BOS,RHP,"$1,250,000",1,"$1,250,000","$1,250,000"
"Lambert, Peter",COL,RHP,"$1,250,000",1,"$1,250,000","$1,250,000"
"Hernandez, Jonathan",TEX,RHP,"$1,245,000",1,"$1,245,000","$1,245,000"
"Ginkel, Kevin",ARI,RHP,"$1,225,000",1,"$1,225,000","$1,225,000"
"Lux, Gavin",LAD,2B,"$1,225,000",1,"$1,225,000","$1,225,000"
"Topa, Justin",MIN,RHP,"$1,225,000",1,"$1,225,000","$1,225,000"
"Beede, Tyler",CLE,RHP,"$1,200,000",1,"$1,200,000","$1,200,000"
"Waguespack, Jacob",TB,RHP,"$1,200,000",1,"$1,200,000","$1,200,000"
"Thornton, Trent",SEA,RHP,"$1,200,000",1,"$1,200,000","$1,200,000"
"Perez, Cionel",BAL,LHP,"$1,200,000",1,"$1,200,000","$1,200,000"
"Merryweather, Julian",CHC,RHP,"$1,175,000",1,"$1,175,000","$1,175,000"
"Schreiber, John",KC,RHP,"$1,175,000",1,"$1,175,000","$1,175,000"
"Bello, Brayan",BOS,RHP,"$1,166,667",6,"$55,000,000","$9,166,667"
"Hentges, Sam",CLE,LHP,"$1,162,500",1,"$1,162,500","$1,162,500"
"De Los Santos, Enyel",SD,RHP,"$1,160,000",1,"$1,160,000","$1,160,000"
"Young, Alex",CIN,LHP,"$1,160,000",1,"$1,160,000","$1,160,000"
"Guillorme, Luis",ATL,INF,"$1,100,000",1,"$1,100,000","$1,100,000"
"Vargas, Ildemaro",WSH,INF,"$1,100,000",1,"$1,100,000","$1,100,000"
"Taylor, Josh",KC,LHP,"$1,100,000",1,"$1,100,000","$1,100,000"
"Sandlin, Nick",CLE,RHP,"$1,075,000",1,"$1,075,000","$1,075,000"
"Okert, Steven",MIN,LHP,"$1,062,500",1,"$1,062,500","$1,062,500"
"Brentz, Jake",KC,LHP,"$1,050,000",2,"$1,900,000","$950,000"
"Burke, Brock",TEX,LHP,"$1,035,000",1,"$1,035,000","$1,035,000"
"Wilson, Bryse",MIL,RHP,"$1,025,000",1,"$1,025,000","$1,025,000"
"Sborz, Josh",TEX,RHP,"$1,025,000",1,"$1,025,000","$1,025,000"
"Hernandez, Carlos",KC,RHP,"$1,012,500",1,"$1,012,500","$1,012,500"
"Newcomb, Sean",OAK,LHP,"$1,000,000",1,"$1,000,000","$1,000,000"
"Strider, Spencer",ATL,RHP,"$1,000,000",6,"$75,000,000","$12,500,000"
"Treinen, Blake",LAD,RHP,"$1,000,000",1,"$1,000,000","$1,000,000"
"Vesia, Alex",LAD,LHP,"$1,000,000",1,"$1,000,000","$1,000,000"
"Smith, Burch",MIA,RHP,"$1,000,000",1,"$1,000,000","$1,000,000"
"Tonkin, Michael",NYM,RHP,"$1,000,000",1,"$1,000,000","$1,000,000"
"Bautista, Felix",BAL,RHP,"$1,000,000",1,"$1,000,000","$1,000,000"
"Kemp, Tony",BAL,OF,"$1,000,000",1,"$1,000,000","$1,000,000"
"Webb, Jacob",BAL,RHP,"$1,000,000",1,"$1,000,000","$1,000,000"
"Profar, Jurickson",SD,OF,"$1,000,000",1,"$1,000,000","$1,000,000"
"Devenski, Chris",TB,RHP,"$1,000,000",1,"$1,000,000","$1,000,000"
"Cave, Jake",COL,OF,"$1,000,000",1,"$1,000,000","$1,000,000"
"Pillar, Kevin",CWS,OF,"$1,000,000",1,"$1,000,000","$1,000,000"
"Staumont, Josh",MIN,RHP,"$950,000",1,"$950,000","$950,000"
"Suarez, Jose",LAA,LHP,"$925,000",1,"$925,000","$925,000"
"Mantiply, Joe",ARI,LHP,"$925,000",1,"$925,000","$925,000"
"Hamilton, Ian",NYY,RHP,"$923,050",1,"$923,050","$923,050"
"Haggerty, Sam",SEA,2B,"$900,000",1,"$900,000","$900,000"
"Gordon, Nick",MIA,OF,"$900,000",1,"$900,000","$900,000"
"Stewart, Brock",MIN,RHP,"$900,000",1,"$900,000","$900,000"
"Sano, Miguel",LAA,3B,"$875,000",1,"$875,000","$875,000"
"Bazardo, Eduard",SEA,RHP,"$870,600",1,"$870,600","$870,600"
"Romero, JoJo",STL,LHP,"$860,000",1,"$860,000","$860,000"
"Gonzalez, Victor",NYY,LHP,"$860,000",1,"$860,000","$860,000"
"Ahmed, Nick",SF,SS,"$850,000",1,"$850,000","$850,000"
"McFarland, T.J.",OAK,LHP,"$850,000",1,"$850,000","$850,000"
"Singleton, Jonathan",HOU,1B,"$850,000",1,"$850,000","$850,000"
"Wade, Tyler",SD,3B,"$850,000",1,"$850,000","$850,000"
"Covey, Dylan",PHI,RHP,"$850,000",1,"$850,000","$850,000"
"Stubbs, Garrett",PHI,C,"$850,000",1,"$850,000","$850,000"
"Fleming, Josh",PIT,LHP,"$850,000",1,"$850,000","$850,000"
"Quijada, Jose",LAA,LHP,"$840,000",1,"$840,000","$840,000"
"Ryan, Ryder",PIT,RHP,"$830,000",1,"$830,000","$830,000"
"Antone, Tejay",CIN,RHP,"$830,000",1,"$830,000","$830,000"
"Mize, Casey",DET,RHP,"$830,000",1,"$830,000","$830,000"
"Akin, Keegan",BAL,LHP,"$825,000",1,"$825,000","$825,000"
"Volpe, Anthony",NYY,SS,"$810,100",1,"$810,100","$810,100"
"Adams, Austin",OAK,RHP,"$800,000",1,"$800,000","$800,000"
"Stratton, Hunter",PIT,RHP,"$800,000",1,"$800,000","$800,000"
"Shaw, Bryan",CWS,RHP,"$800,000",1,"$800,000","$800,000"
"Burdi, Nick",NYY,RHP,"$800,000",1,"$800,000","$800,000"
"Pearson, Nate",TOR,RHP,"$800,000",1,"$800,000","$800,000"
"Perkins, Blake",MIL,OF,"$800,000",1,"$800,000","$800,000"
"Crochet, Garrett",CWS,LHP,"$800,000",1,"$800,000","$800,000"
"Kirby, George",SEA,RHP,"$798,600",1,"$798,600","$798,600"
"Garrett, Stone",WSH,OF,"$798,600",1,"$798,600","$798,600"
"Raleigh, Cal",SEA,C,"$795,000",1,"$795,000","$795,000"
"Scott, Tayler",HOU,RHP,"$790,000",1,"$790,000","$790,000"
"Alcala, Jorge",MIN,RHP,"$790,000",1,"$790,000","$790,000"
"Perdomo, Geraldo",ARI,SS,"$786,000",1,"$786,000","$786,000"
"Pena, Jeremy",HOU,SS,"$783,500",1,"$783,500","$783,500"
"Cabrera, Oswaldo",NYY,OF,"$783,000",1,"$783,000","$783,000"
"Manoah, Alek",TOR,RHP,"$782,500",1,"$782,500","$782,500"
"Vieira, Thyago",MIL,RHP,"$777,500",1,"$777,500","$777,500"
"Brown, Hunter",HOU,RHP,"$774,500",1,"$774,500","$774,500"
"Weems, Jordan",WSH,RHP,"$773,500",1,"$773,500","$773,500"
"Reid-Foley, Sean",NYM,RHP,"$772,750",1,"$772,750","$772,750"
"Adell, Jo",LAA,OF,"$770,000",1,"$770,000","$770,000"
"Detmers, Reid",LAA,LHP,"$770,000",1,"$770,000","$770,000"
"Moniak, Mickey",LAA,OF,"$770,000",1,"$770,000","$770,000"
"Thaiss, Matt",LAA,C,"$770,000",1,"$770,000","$770,000"
"Outman, James",LAD,OF,"$770,000",1,"$770,000","$770,000"
"Bart, Joey",SF,C,"$770,000",1,"$770,000","$770,000"
"Doval, Camilo",SF,RHP,"$770,000",1,"$770,000","$770,000"
"Bender, Anthony",MIA,RHP,"$770,000",1,"$770,000","$770,000"
"Houck, Tanner",BOS,RHP,"$770,000",1,"$770,000","$770,000"
"Thomas, Alek",ARI,OF,"$769,500",1,"$769,500","$769,500"
"Diaz, Yainer",HOU,C,"$768,900",1,"$768,900","$768,900"
"Ramirez, Yohan",NYM,RHP,"$768,750",1,"$768,750","$768,750"
"De La Cruz, Bryan",MIA,OF,"$768,000",1,"$768,000","$768,000"
"Stott, Bryson",PHI,2B,"$768,000",1,"$768,000","$768,000"
"France, J.P.",HOU,RHP,"$767,600",1,"$767,600","$767,600"
"Meyers, Jake",HOU,OF,"$767,300",1,"$767,300","$767,300"
"Morel, Christopher",CHC,3B,"$767,000",1,"$767,000","$767,000"
"Contreras, William",MIL,C,"$766,900",1,"$766,900","$766,900"
"Peraza, Oswald",NYY,SS,"$766,600",1,"$766,600","$766,600"
"Marsh, Brandon",PHI,OF,"$766,500",1,"$766,500","$766,500"
"White, Mitch",TOR,RHP,"$766,400",1,"$766,400","$766,400"
"Foley, Jason",DET,RHP,"$766,300",1,"$766,300","$766,300"
"Greene, Riley",DET,OF,"$766,300",1,"$766,300","$766,300"
"Megill, Tylor",NYM,RHP,"$766,250",1,"$766,250","$766,250"
"Ibanez, Andy",DET,INF,"$766,100",1,"$766,100","$766,100"
"McCarthy, Jake",ARI,OF,"$766,000",1,"$766,000","$766,000"
"Vierling, Matt",DET,OF,"$766,000",1,"$766,000","$766,000"
"Torkelson, Spencer",DET,1B,"$765,700",1,"$765,700","$765,700"
"Bielak, Brandon",HOU,RHP,"$765,000",1,"$765,000","$765,000"
"Oviedo, Johan",PIT,RHP,"$765,000",1,"$765,000","$765,000"
"McKinstry, Zach",DET,INF,"$764,400",1,"$764,400","$764,400"
"Nelson, Ryne",ARI,RHP,"$764,300",1,"$764,300","$764,300"
"Garrett, Braxton",MIA,LHP,"$764,000",1,"$764,000","$764,000"
"Reyes, Pablo",BOS,INF,"$764,000",1,"$764,000","$764,000"
"Alvarez, Francisco",NYM,C,"$762,500",1,"$762,500","$762,500"
"Cuas, Jose",CHC,RHP,"$762,000",1,"$762,000","$762,000"
"Ober, Bailey",MIN,RHP,"$761,850",1,"$761,850","$761,850"
"Jax, Griffin",MIN,RHP,"$761,750",1,"$761,750","$761,750"
"Nootbaar, Lars",STL,OF,"$761,000",1,"$761,000","$761,000"
"Cabrera, Edward",MIA,RHP,"$761,000",1,"$761,000","$761,000"
"Brogdon, Connor",PHI,RHP,"$761,000",1,"$761,000","$761,000"
"Carpenter, Kerry",DET,OF,"$761,000",1,"$761,000","$761,000"
"Vest, Will",DET,RHP,"$760,700",1,"$760,700","$760,700"
"Lange, Alex",DET,RHP,"$760,600",1,"$760,600","$760,600"
"Henry, Tommy",ARI,LHP,"$760,500",1,"$760,500","$760,500"
"Pache, Cristian",PHI,OF,"$760,500",1,"$760,500","$760,500"
"Rutschman, Adley",BAL,C,"$760,300",1,"$760,300","$760,300"
"Moreno, Gabriel",ARI,C,"$760,100",1,"$760,100","$760,100"
"O'Hoppe, Logan",LAA,C,"$760,000",1,"$760,000","$760,000"
"Soriano, Jose",LAA,RHP,"$760,000",1,"$760,000","$760,000"
"Kelenic, Jarred",ATL,OF,"$760,000",1,"$760,000","$760,000"
"Lee, Dylan",ATL,LHP,"$760,000",1,"$760,000","$760,000"
"Grove, Michael",LAD,RHP,"$760,000",1,"$760,000","$760,000"
"Burger, Jake",MIA,3B,"$760,000",1,"$760,000","$760,000"
"Casas, Triston",BOS,1B,"$760,000",1,"$760,000","$760,000"
"Crawford, Kutter",BOS,RHP,"$760,000",1,"$760,000","$760,000"
"Dalbec, Bobby",BOS,INF,"$760,000",1,"$760,000","$760,000"
"Duran, Jarren",BOS,OF,"$760,000",1,"$760,000","$760,000"
"Winckowski, Josh",BOS,RHP,"$760,000",1,"$760,000","$760,000"
"Wong, Connor",BOS,C,"$760,000",1,"$760,000","$760,000"
"Diaz, Alexis",CIN,RHP,"$760,000",1,"$760,000","$760,000"
"Gibaut, Ian",CIN,RHP,"$760,000",1,"$760,000","$760,000"
"Lodolo, Nick",CIN,LHP,"$760,000",1,"$760,000","$760,000"
"Moll, Sam",CIN,LHP,"$760,000",1,"$760,000","$760,000"
"Gilbreath, Lucas",COL,LHP,"$760,000",1,"$760,000","$760,000"
"Lambert, Jimmy",CWS,RHP,"$759,250",1,"$759,250","$759,250"
"Fortes, Nick",MIA,C,"$759,000",1,"$759,000","$759,000"
"Ryan, Joe",MIN,RHP,"$758,850",1,"$758,850","$758,850"
"Holton, Tyler",DET,LHP,"$758,300",1,"$758,300","$758,300"
"Isbel, Kyle",KC,OF,"$758,250",1,"$758,250","$758,250"
"Siri, Jose",TB,OF,"$757,800",1,"$757,800","$757,800"
"Clement, Ernie",TOR,2B,"$757,700",1,"$757,700","$757,700"
"Kwan, Steven",CLE,OF,"$757,600",1,"$757,600","$757,600"
"Brash, Matt",SEA,RHP,"$757,600",1,"$757,600","$757,600"
"Gray, Josiah",WSH,RHP,"$757,400",1,"$757,400","$757,400"
