Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Casey Schmitt,SF,2B,26,40,107,11,27,4,1,6,16,0,0,4,25,0,1,1,.252,.283,.477,.760
Joey Loperfido,HOU,OF,25,38,106,11,25,5,1,2,16,2,1,7,43,1,1,3,.236,.299,.358,.657
Robbie Grossman,TEX,OF,35,46,105,13,25,4,0,3,10,1,0,16,25,0,1,0,.238,.336,.362,.698
Vaughn Grissom,BOS,2B,24,31,105,10,20,3,0,0,6,2,0,7,24,0,1,1,.190,.246,.219,.465
Cristian Pache,PHI,OF,26,50,104,9,21,5,1,0,9,0,0,13,43,0,1,0,.202,.288,.269,.557
Luis Guillorme,LAA,2B,30,51,104,6,24,5,1,0,3,1,2,11,23,1,1,0,.231,.302,.298,.600
Henry Davis,PIT,C,25,37,104,9,15,4,0,1,5,0,0,13,45,1,2,1,.144,.242,.212,.454
Brett Harris,OAK,3B,26,36,103,15,15,3,0,3,12,0,3,17,25,0,1,2,.146,.276,.262,.538
Carson Kelly,TEX,C,30,31,102,11,24,5,0,2,8,0,0,8,15,0,0,0,.235,.291,.343,.634
Tommy Pham,KC,OF,36,23,101,9,23,3,1,2,8,1,0,3,27,0,0,0,.228,.250,.337,.587
Bryan Ramos,CWS,3B,22,32,99,13,20,4,0,3,11,0,2,7,22,0,1,0,.202,.252,.333,.585
Alex Call,WSH,OF,30,30,99,15,34,9,0,3,14,5,1,12,19,0,0,2,.343,.425,.525,.950
Heston Kjerstad,BAL,OF,26,39,99,8,25,2,0,4,14,1,0,10,33,0,0,5,.253,.351,.394,.745
Miles Mastrobuoni,CHC,3B,29,50,98,9,19,3,0,0,4,2,0,7,17,0,1,0,.194,.245,.224,.469
Estevan Florial,CLE,OF,27,36,98,11,17,6,2,3,11,2,1,11,41,1,0,1,.173,.264,.367,.631
Nick Allen,OAK,SS,26,41,97,6,17,4,0,1,4,0,0,5,20,3,0,0,.175,.216,.247,.463
Jose Herrera,ARI,C,28,42,97,11,22,4,1,1,13,0,0,9,27,7,1,0,.227,.290,.320,.610
Ryan Noda,OAK,1B,28,36,95,8,13,4,0,1,4,0,0,14,37,1,0,1,.137,.255,.211,.466
Alek Thomas,ARI,OF,24,39,95,13,18,5,1,3,17,4,1,7,17,1,0,0,.189,.245,.358,.603
Eloy Jimenez,BAL,DH,28,33,95,7,22,5,0,1,7,0,0,4,23,0,0,1,.232,.270,.316,.586
Dane Myers,MIA,OF,28,44,95,17,25,6,1,3,19,4,1,8,36,0,2,3,.263,.333,.442,.775
Oliver Dunn,MIL,2B,27,41,95,11,21,2,2,1,7,3,0,6,40,1,0,2,.221,.282,.316,.598
Trevor Story,BOS,SS,32,26,94,8,24,7,0,2,10,6,3,11,33,0,0,1,.255,.340,.394,.734
Aaron Schunk,COL,3B,27,39,94,14,22,3,0,2,7,0,1,4,31,0,0,0,.234,.265,.330,.595
Luis Urias,SEA,3B,27,41,94,11,18,7,0,4,16,0,0,9,34,0,0,6,.191,.303,.394,.697
Niko Kavadas,LAA,DH,26,30,93,11,17,2,0,4,8,1,0,11,41,0,0,2,.183,.283,.333,.616
Jacob Wilson,OAK,SS,22,28,92,11,23,2,2,0,3,0,0,8,10,1,1,1,.250,.314,.315,.629
Sean Bouchard,COL,OF,28,31,91,14,17,7,0,1,8,4,0,12,33,1,2,2,.187,.290,.297,.587
Yan Gomes,CHC,C,37,34,91,7,14,2,0,2,7,0,0,2,36,1,1,1,.154,.179,.242,.421
Austin Slater,SF,OF,32,43,90,12,18,1,0,1,9,2,1,16,31,0,3,3,.200,.330,.244,.574
Andrew Knizner,TEX,C,30,37,90,5,15,1,0,1,9,0,0,1,22,0,1,1,.167,.183,.211,.394
Weston Wilson,PHI,OF,30,41,88,13,25,7,1,3,10,3,0,8,29,0,1,1,.284,.347,.489,.836
Alika Williams,PIT,SS,25,37,87,13,18,4,2,0,5,1,0,3,22,5,0,1,.207,.242,.299,.541
Nick Madrigal,CHC,2B,28,51,86,5,19,3,0,0,10,1,0,4,10,1,0,3,.221,.280,.256,.536
Trey Cabbage,HOU,OF,27,45,86,12,18,8,0,1,8,1,1,4,34,0,0,1,.209,.253,.337,.590
Ali Sanchez,MIA,C,28,31,84,5,14,2,0,0,4,2,1,4,24,6,1,1,.167,.211,.190,.401
Dillon Dingler,DET,C,26,27,84,2,14,5,2,1,11,0,0,3,30,0,0,0,.167,.195,.310,.505
Miguel Sano,LAA,1B,31,28,83,9,17,3,0,2,6,0,0,9,36,0,1,2,.205,.295,.313,.608
Bobby Dalbec,BOS,1B,29,37,83,6,11,2,0,1,8,3,0,8,43,1,0,1,.133,.217,.193,.410
Tomas Nido,NYM,C,30,32,83,9,19,2,0,3,8,0,0,4,20,2,1,0,.229,.261,.361,.622
Griffin Conine,MIA,OF,27,30,82,14,22,4,1,3,12,0,0,6,28,0,0,1,.268,.326,.451,.777
Christian Bethancourt,MIA,C,33,38,82,9,13,3,0,2,7,0,0,3,22,2,0,1,.159,.198,.268,.466
Will Wagner,TOR,2B,26,24,82,8,25,6,0,2,11,0,0,4,16,0,0,0,.305,.337,.451,.788
Tucker Barnhart,ARI,C,34,31,81,13,14,3,0,0,6,1,0,13,31,2,0,0,.173,.287,.210,.497
Danny Jansen,BOS,C,29,30,80,8,15,0,0,3,6,0,0,15,19,0,0,1,.188,.323,.300,.623
Adrian Del Castillo,ARI,C,25,25,80,12,25,5,0,4,19,1,1,7,28,0,0,0,.313,.368,.525,.893
Jace Jung,DET,3B,24,34,79,14,19,5,0,0,3,0,1,15,29,0,0,0,.241,.362,.304,.666
Austin Hays,PHI,OF,29,22,78,8,20,5,0,2,6,2,1,0,19,0,0,2,.256,.275,.397,.672
Eddie Rosario,ATL,OF,33,24,78,7,12,1,0,3,9,1,0,3,23,1,2,0,.154,.181,.282,.463
Nick Sogard,BOS,SS,27,31,77,13,21,4,0,0,8,3,0,7,25,0,2,0,.273,.326,.325,.651
Nathan Lukes,TOR,OF,30,22,76,13,23,4,2,1,10,1,0,10,9,2,3,0,.303,.371,.447,.818
Marco Luciano,SF,SS,23,27,76,10,16,5,1,0,3,0,1,5,28,0,0,0,.211,.259,.303,.562
Ji Hwan Bae,PIT,OF,25,29,74,11,14,2,0,0,6,6,2,6,24,0,1,0,.189,.247,.216,.463
Harold Ramirez,WSH,DH,30,25,74,7,18,4,1,1,16,1,0,2,17,0,0,1,.243,.273,.365,.638
Jose Azocar,SD,OF,28,61,73,13,16,2,0,0,2,5,1,5,19,1,0,0,.219,.269,.247,.516
Akil Baddoo,DET,OF,26,31,73,7,10,2,2,2,5,1,0,8,27,0,1,0,.137,.220,.301,.521
Mark Canha,SF,1B,36,32,73,4,21,3,0,0,4,3,0,9,17,0,1,2,.288,.376,.329,.705
Cavan Biggio,LAD,2B,29,30,73,11,14,1,0,3,10,0,0,10,28,2,0,2,.192,.306,.329,.635
Leo Rivas,SEA,2B,27,43,73,10,17,1,1,0,8,3,0,10,24,2,0,1,.233,.333,.274,.607
Eric Wagaman,LAA,3B,27,18,72,6,18,5,0,2,10,0,0,2,17,0,0,0,.250,.270,.403,.673
Miguel Vargas,LAD,3B,25,30,71,11,17,4,0,3,9,1,0,8,16,0,1,0,.239,.313,.423,.736
Brandon Crawford,STL,SS,38,29,71,5,12,5,0,1,4,0,0,8,26,0,0,1,.169,.263,.282,.545
Robbie Grossman,CWS,OF,35,25,71,6,15,4,0,0,4,2,0,13,20,0,1,0,.211,.329,.268,.597
Jose Fermin,STL,2B,25,45,71,7,11,1,1,0,4,2,1,7,11,0,0,1,.155,.241,.197,.438
Daniel Vogelbach,TOR,DH,32,31,70,5,13,5,0,1,8,0,0,9,17,0,0,0,.186,.278,.300,.578
Chuckie Robinson,CWS,C,30,26,70,2,9,0,0,0,0,0,0,5,20,0,0,1,.129,.197,.129,.326
Garrett Cooper,BOS,1B,34,24,70,3,12,4,0,0,5,0,0,3,22,0,0,2,.171,.227,.229,.456
Ramon Laureano,CLE,OF,30,31,70,7,10,3,0,1,4,3,1,7,32,0,1,5,.143,.265,.229,.494
Austin Slater,BAL,OF,32,33,69,10,17,3,0,1,6,1,1,8,23,0,0,2,.246,.342,.333,.675
Tommy Pham,STL,OF,36,23,68,7,14,3,1,2,12,0,0,7,16,0,1,1,.206,.286,.368,.654
Joshua Palacios,PIT,OF,29,23,67,10,15,2,0,2,9,1,0,10,12,0,0,1,.224,.333,.343,.676
Bligh Madris,DET,OF,29,21,67,8,18,3,0,1,5,0,0,6,20,0,1,0,.269,.324,.358,.682
Jacob Amaya,CWS,SS,26,23,67,4,12,1,0,0,3,1,0,4,28,0,0,0,.179,.225,.194,.419
Zach DeLoach,CWS,OF,26,22,67,10,14,5,0,1,5,0,1,8,21,0,0,0,.209,.293,.328,.621
Jack Lopez,LAA,2B,32,27,67,4,17,3,0,1,6,0,1,2,25,1,0,1,.254,.286,.343,.629
