Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Eli White,ATL,OF,30,35,39,9,11,1,1,1,4,3,1,1,12,0,0,2,.282,.333,.436,.769
Seby Zavala,SEA,C,31,18,39,4,6,2,0,1,2,0,0,3,16,1,0,0,.154,.214,.282,.496
Jhonny Pereda,MIA,C,28,20,39,2,9,0,0,0,4,0,0,0,10,0,0,1,.231,.250,.231,.481
Nick Yorke,PIT,2B,22,11,37,4,8,0,0,2,5,2,0,4,12,0,1,0,.216,.286,.378,.664
Armando Alvarez,OAK,3B,30,16,37,7,9,1,0,0,2,1,0,2,8,0,0,0,.243,.282,.270,.552
Steward Berroa,TOR,OF,25,28,37,7,7,1,0,0,1,6,2,8,14,0,0,0,.189,.333,.216,.549
Garrett Cooper,CHC,1B,34,12,37,3,10,1,1,1,6,0,0,4,13,0,0,0,.270,.341,.432,.773
Jonathan Ornelas,TEX,SS,24,18,37,1,8,2,0,0,3,0,0,2,13,1,0,0,.216,.256,.270,.526
Luis Guillorme,ARI,2B,30,18,37,6,6,2,0,0,4,3,0,11,8,0,1,0,.162,.347,.216,.563
Joey Wendle,NYM,3B,34,18,36,3,8,1,0,0,1,1,0,1,9,0,0,0,.222,.243,.250,.493
Kyle Stowers,BAL,OF,27,19,36,3,11,4,0,1,9,0,1,0,13,0,1,0,.306,.297,.500,.797
Adael Amador,COL,2B,21,10,35,1,6,1,0,0,0,1,0,1,6,0,0,0,.171,.194,.200,.394
Logan Driscoll,TB,C,27,15,35,2,6,0,0,1,5,0,0,1,6,0,1,0,.171,.189,.257,.446
Jordyn Adams,LAA,OF,25,11,35,4,8,0,0,1,4,2,0,3,12,0,0,0,.229,.289,.314,.603
David Villar,SF,2B,28,11,35,3,9,4,0,1,4,0,0,1,13,0,1,0,.257,.270,.457,.727
Javier Sanoja,MIA,OF,22,15,35,3,8,2,0,0,2,0,0,1,4,0,0,0,.229,.250,.286,.536
Tom Murphy,SF,C,33,13,34,3,4,1,0,1,2,0,0,4,14,0,0,0,.118,.211,.235,.446
Oscar Colas,CWS,OF,26,13,33,1,9,0,0,0,4,0,1,4,10,0,0,1,.273,.368,.273,.641
Zach Remillard,CWS,2B,31,15,33,3,8,1,1,0,1,1,0,5,10,1,0,0,.242,.342,.333,.675
Connor Norby,BAL,3B,24,9,32,3,6,1,0,2,3,0,0,0,12,0,0,0,.188,.188,.406,.594
Graham Pauley,SD,3B,24,13,32,4,4,0,0,2,5,0,0,0,15,0,0,0,.125,.125,.313,.438
Blake Sabol,SF,C,27,11,32,3,10,2,0,0,1,0,0,5,9,0,0,1,.313,.421,.375,.796
Robbie Grossman,KC,OF,35,16,32,2,4,0,0,0,2,0,0,5,13,0,0,1,.125,.263,.125,.388
Travis Blankenhorn,WSH,3B,28,13,31,2,4,1,0,0,5,0,0,1,9,0,0,0,.129,.156,.161,.317
Johnathan Rodriguez,CLE,OF,25,13,31,6,4,1,0,0,5,0,0,9,14,0,0,0,.129,.325,.161,.486
Nick Senzel,CWS,OF,29,10,30,0,3,1,0,0,0,0,0,1,8,1,0,0,.100,.129,.133,.262
Nacho Alvarez,ATL,SS,21,8,30,1,3,0,0,0,0,0,0,0,10,0,0,2,.100,.156,.100,.256
Luis De Los Santos,TOR,3B,26,13,29,2,5,2,0,0,1,0,0,2,10,0,0,0,.172,.226,.241,.467
Forrest Wall,ATL,OF,29,13,29,3,7,0,0,0,1,3,3,3,6,0,0,0,.241,.313,.241,.554
Aledmys Diaz,OAK,SS,34,12,29,2,3,0,0,0,1,0,0,1,7,0,0,0,.103,.133,.103,.236
Jason Vosler,SEA,3B,31,10,28,2,5,1,1,0,3,0,0,2,9,0,0,0,.179,.233,.286,.519
Keston Hiura,LAA,1B,28,10,27,1,4,0,0,0,1,0,1,0,10,0,0,0,.148,.148,.148,.296
Owen Miller,MIL,2B,28,14,27,2,5,1,0,0,3,0,0,0,8,0,0,0,.185,.185,.222,.407
Dominic Smith,CIN,1B,29,9,26,4,5,2,0,0,0,0,0,3,11,0,0,0,.192,.276,.269,.545
Ehire Adrianza,LAA,OF,35,8,26,4,5,1,0,1,2,0,0,2,11,0,0,0,.192,.250,.346,.596
Matt Mervis,CHC,DH,26,9,26,1,3,1,0,0,3,0,0,1,8,0,0,0,.115,.148,.154,.302
Joey Wiemer,MIL,OF,26,19,26,2,4,0,0,0,0,1,1,1,9,0,0,0,.154,.185,.154,.339
Blake Dunn,CIN,OF,26,19,26,8,4,1,0,1,1,2,0,2,11,0,0,1,.154,.241,.308,.549
Trenton Brooks,SF,1B,29,12,25,3,3,0,0,0,1,1,0,4,6,0,0,0,.120,.241,.120,.361
Cesar Salazar,HOU,C,28,12,25,5,8,2,0,0,8,0,0,2,6,1,2,2,.320,.387,.400,.787
Billy McKinney,PIT,OF,30,10,25,4,5,1,0,0,2,0,0,2,13,0,0,1,.200,.286,.240,.526
Kevin Pillar,CWS,OF,36,17,25,1,4,2,0,1,4,2,0,4,8,1,1,1,.160,.290,.360,.650
Victor Robles,WSH,OF,27,14,25,3,3,0,0,0,2,4,1,5,9,1,1,1,.120,.281,.120,.401
Alexander Canario,CHC,OF,24,15,25,4,7,1,0,1,2,1,0,2,11,0,0,1,.280,.357,.440,.797
Cal Stevenson,PHI,OF,28,18,24,2,6,3,0,0,6,0,0,3,4,0,0,0,.250,.333,.375,.708
Ben Gamel,NYM,OF,32,18,23,9,5,1,0,0,0,1,0,7,7,0,0,0,.217,.400,.261,.661
Jace Peterson,ARI,3B,34,14,22,2,1,0,0,0,1,0,0,3,6,0,1,0,.045,.154,.045,.199
Donovan Walton,SF,SS,30,9,22,3,3,0,0,1,2,0,0,2,7,0,0,1,.136,.240,.273,.513
Grae Kessinger,HOU,3B,27,23,21,4,0,0,0,0,0,0,0,3,7,0,0,1,.000,.160,.000,.160
Tristan Gray,OAK,1B,28,8,21,0,3,1,0,0,0,0,0,3,13,0,0,0,.143,.250,.190,.440
Charles Leblanc,LAA,3B,28,11,21,6,4,0,0,2,6,0,0,7,9,0,0,0,.190,.393,.476,.869
Elias Diaz,SD,C,34,12,21,1,4,2,0,1,3,0,0,3,5,0,0,0,.190,.292,.429,.721
Luis Guillorme,ATL,2B,30,10,20,2,3,2,0,0,3,0,0,1,5,0,0,0,.150,.190,.250,.440
Jonatan Clase,TOR,OF,22,7,20,3,7,1,0,1,2,0,1,1,3,0,0,2,.350,.435,.550,.985
Pedro Leon,HOU,OF,26,7,20,2,2,0,0,0,0,2,0,1,10,0,0,0,.100,.143,.100,.243
Austin Wynns,CIN,C,34,7,19,3,7,4,0,0,2,0,0,0,5,0,0,1,.368,.400,.579,.979
J.D. Davis,NYY,3B,31,7,19,1,2,1,0,0,1,0,0,3,9,0,0,0,.105,.227,.158,.385
Austin Slater,CIN,OF,32,8,18,2,2,0,0,0,3,0,0,2,6,0,1,0,.111,.190,.111,.301
Bubba Thompson,CIN,OF,26,17,18,5,2,1,0,0,0,5,0,0,11,0,0,0,.111,.111,.167,.278
Mickey Gasper,BOS,C,29,13,18,1,0,0,0,0,0,0,0,4,8,0,0,1,.000,.217,.000,.217
Isaac Collins,MIL,OF,27,11,17,0,2,0,0,0,0,1,0,2,10,0,0,0,.118,.211,.118,.329
Jorge Barrosa,ARI,OF,24,8,17,3,3,2,0,0,1,1,0,0,2,1,0,0,.176,.176,.294,.470
Drew Waters,KC,OF,26,7,16,2,3,1,0,0,1,0,0,2,6,0,0,1,.188,.316,.250,.566
Brett Sullivan,SD,C,31,7,16,1,3,0,0,1,2,0,0,1,4,0,0,0,.188,.235,.375,.610
Niko Goodrum,TB,OF,33,9,16,1,3,0,0,0,0,0,1,1,6,1,0,0,.188,.235,.188,.423
Sam Haggerty,SEA,OF,30,8,15,1,1,0,0,0,1,1,0,1,4,0,0,0,.067,.125,.067,.192
Jason Delay,PIT,C,29,7,15,1,3,3,0,0,6,0,0,3,0,1,0,0,.200,.333,.400,.733
Kameron Misner,TB,OF,27,8,15,0,1,0,0,0,0,0,0,0,10,0,0,0,.067,.067,.067,.134
Rafael Ortega,CWS,OF,33,14,14,4,1,0,0,0,1,2,0,2,4,0,1,0,.071,.176,.071,.247
Jakson Reetz,SF,C,29,6,14,1,2,1,0,1,1,0,0,1,5,0,0,0,.143,.200,.429,.629
Darren Baker,WSH,2B,26,9,14,1,7,2,0,0,0,0,0,0,3,0,0,0,.500,.500,.643,1.143
Carlos Narvaez,NYY,C,26,6,13,0,3,0,0,0,0,0,0,2,6,0,0,0,.231,.333,.231,.564
Niko Goodrum,LAA,OF,33,4,13,1,0,0,0,0,0,1,0,2,4,0,0,0,.000,.133,.000,.133
DaShawn Keirsey,MIN,OF,27,6,13,1,2,0,0,1,1,0,0,0,1,0,0,1,.154,.214,.385,.599
Derek Hill,SF,OF,29,5,12,3,3,0,1,0,2,0,0,1,3,0,0,0,.250,.308,.417,.725
Hunter Feduccia,LAD,C,27,5,12,2,4,0,0,0,1,0,0,2,2,0,0,0,.333,.429,.333,.762
Luis Vazquez,CHC,SS,25,11,12,2,1,0,0,0,1,0,0,0,6,0,1,1,.083,.143,.083,.226
Brandon Lockridge,SD,OF,27,12,12,4,2,0,0,1,1,2,0,0,4,0,0,0,.167,.167,.417,.584
Bryce Teodosio,LAA,OF,25,5,12,1,1,0,0,0,0,0,0,0,5,0,0,0,.083,.083,.083,.166
Amed Rosario,LAD,2B,29,5,11,1,3,1,0,0,2,1,1,1,2,0,0,0,.273,.333,.364,.697
Buddy Kennedy,PHI,3B,26,8,11,1,2,1,0,0,2,0,0,2,3,0,0,0,.182,.308,.273,.581
Buddy Kennedy,DET,3B,26,6,10,2,2,0,0,1,4,1,0,2,4,0,1,0,.200,.308,.500,.808
J.P. Martinez,ATL,OF,28,7,10,2,2,1,0,0,0,1,0,0,4,0,0,0,.200,.200,.300,.500
Oswald Peraza,NYY,3B,24,4,10,2,2,0,0,1,1,0,0,1,3,0,0,0,.200,.273,.500,.773
Livan Soto,BAL,SS,24,12,10,1,3,1,0,0,0,0,0,3,2,0,0,0,.300,.462,.400,.862
Kevin Alcantara,CHC,OF,22,3,10,1,1,0,0,0,0,0,0,0,1,0,0,0,.100,.100,.100,.200
Michael Helman,MIN,2B,28,9,10,2,3,2,0,0,0,0,0,0,3,0,0,0,.300,.300,.500,.800
Liover Peguero,PIT,SS,24,3,10,0,2,1,0,0,2,0,0,0,3,0,0,0,.200,.200,.300,.500
Tyler Heineman,TOR,C,33,6,10,2,1,0,0,0,0,0,0,3,5,0,0,0,.100,.308,.100,.408
Levi Jordan,CIN,3B,29,7,10,1,1,1,0,0,1,0,0,0,3,0,1,0,.100,.091,.200,.291
Vinny Capra,MIL,3B,28,3,9,1,1,1,0,0,0,0,0,0,3,0,0,0,.111,.111,.222,.333
Tony Kemp,BAL,2B,33,5,9,1,0,0,0,0,0,0,0,1,1,0,0,0,.000,.100,.000,.100
Eddy Alvarez,NYM,2B,35,13,9,2,0,0,0,0,0,0,0,1,2,0,0,1,.000,.182,.000,.182
Rob Brantly,TB,C,35,3,9,0,1,0,0,0,0,0,0,0,2,0,0,0,.111,.111,.111,.222
Zack Short,NYM,2B,29,10,9,2,1,0,0,0,0,0,1,2,4,1,0,0,.111,.273,.111,.384
Edwin Rios,CIN,1B,30,5,9,1,1,0,0,0,0,0,0,1,4,0,0,0,.111,.200,.111,.311
David Fletcher,ATL,2B,30,5,8,0,2,0,0,0,2,0,0,0,1,0,1,0,.250,.222,.250,.472
CJ Alexander,KC,3B,28,4,8,0,1,0,0,0,0,0,0,0,3,0,0,0,.125,.125,.125,.250
Conner Capel,CIN,OF,27,5,8,1,2,0,0,0,0,1,0,0,2,0,0,0,.250,.250,.250,.500
Ryan McKenna,BAL,OF,28,9,8,3,3,0,0,2,2,0,1,1,1,0,0,0,.375,.444,1.125,1.569
Cade Marlowe,SEA,OF,27,8,8,1,2,0,0,0,0,0,0,1,1,0,0,0,.250,.333,.250,.583
Cooper Hummel,HOU,DH,30,6,8,0,0,0,0,0,0,1,0,0,2,0,0,0,.000,.000,.000,.000
Matt Duffy,TEX,3B,34,4,7,2,2,0,0,0,0,0,0,2,1,0,0,1,.286,.500,.286,.786
Aramis Garcia,PHI,C,32,3,7,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Nick Ahmed,SD,SS,34,2,7,1,1,0,0,0,0,0,0,0,2,0,0,0,.143,.143,.143,.286
Zack Short,BOS,2B,29,2,7,0,0,0,0,0,0,0,0,0,4,0,0,0,.000,.000,.000,.000
Grant Koch,PIT,C,28,3,7,1,0,0,0,0,0,0,0,1,6,0,0,0,.000,.125,.000,.125
Tristan Gray,MIA,1B,28,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Dustin Harris,TEX,OF,25,2,6,1,2,1,0,1,3,0,0,1,2,0,0,0,.333,.429,1.000,1.429
Andrew Knapp,SF,C,33,3,6,0,1,0,0,0,0,0,0,0,2,0,0,0,.167,.167,.167,.334
Diego A. Castillo,MIN,OF,27,4,6,3,2,1,0,0,2,0,0,2,1,0,0,0,.333,.500,.500,1.000
Ryan McKenna,SF,OF,28,4,6,1,0,0,0,0,0,1,0,0,4,0,0,0,.000,.000,.000,.000
Taylor Trammell,LAD,OF,27,5,6,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Jair Camargo,MIN,C,25,5,6,1,0,0,0,0,0,0,0,1,3,0,0,0,.000,.143,.000,.143
Tyler Gentry,KC,OF,26,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Stone Garrett,WSH,DH,29,2,5,2,3,1,0,1,3,0,0,1,0,0,0,0,.600,.667,1.400,2.067
Sandro Fabian,TEX,OF,26,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Brian Anderson,ATL,3B,31,3,5,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Cavan Biggio,ATL,2B,29,4,5,1,1,0,0,0,0,0,0,0,2,0,0,0,.200,.200,.200,.400
Greg Jones,COL,OF,26,6,5,1,1,0,0,1,1,0,0,1,4,0,0,0,.200,.333,.800,1.133
Nick Maton,BAL,3B,28,5,5,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Brewer Hicklen,MIL,OF,29,3,5,0,0,0,0,0,0,1,0,0,4,0,0,0,.000,.000,.000,.000
Samad Taylor,SEA,2B,26,3,5,2,2,0,0,0,0,0,0,0,1,0,0,0,.400,.400,.400,.800
Myles Straw,CLE,OF,30,7,4,2,1,0,0,0,0,2,0,0,0,0,0,0,.250,.250,.250,.500
Jose Devers,MIA,SS,25,3,4,1,1,0,0,0,0,0,0,0,1,0,0,0,.250,.250,.250,.500
Jose Tena,CLE,3B,23,3,4,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Aledmys Diaz,HOU,SS,34,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Duke Ellis,CWS,OF,27,8,4,1,0,0,0,0,0,4,0,0,2,0,0,0,.000,.000,.000,.000
Matthew Batten,SD,3B,29,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,.333,.333,1.000,1.333
Forrest Wall,MIA,OF,29,3,3,1,1,0,0,0,0,1,0,0,2,0,0,0,.333,.333,.333,.666
Orelvis Martinez,TOR,2B,23,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,.333,.333,.333,.666
Sam Huff,TEX,C,27,3,3,0,0,0,0,0,0,0,0,1,2,0,0,0,.000,.250,.000,.250
Livan Soto,CIN,SS,24,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Tyler Heineman,BOS,C,33,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,.000,.333,.000,.333
Cristian Pache,BAL,OF,26,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
Taylor Trammell,NYY,OF,27,5,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000
Daniel Johnson,BAL,OF,29,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
David Banuelos,BAL,C,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Jacob Amaya,HOU,SS,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Duke Ellis,NYY,OF,27,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000
Chris Roller,MIL,OF,28,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Eric Yang,CIN,C,26,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Joey Wiemer,CIN,OF,26,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,1.000,.000,1.000
