Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Trey Wingenter,BOS,30,2,0,0,0,2.1,5,7,3,2,1,0,0,0,0,0,27.00,3.00
Parker Dunshee,ATL,30,1,0,0,0,2.1,4,5,3,2,2,0,0,0,0,0,19.29,2.57
Seth Johnson,PHI,26,1,1,0,0,2.1,8,9,0,3,1,0,1,0,0,0,34.71,4.71
John Curtiss,COL,31,3,0,0,0,2.1,6,4,1,0,2,0,0,0,0,0,15.43,2.57
Jonathan Hernandez,SEA,28,3,0,0,0,2.1,2,3,3,2,0,0,0,0,0,0,11.57,1.71
Brett de Geus,TOR,27,2,0,0,0,2.1,3,4,1,2,0,0,0,0,0,0,15.43,2.14
Ryan Loutos,STL,26,3,0,0,0,2.1,2,0,0,1,0,0,0,0,0,0,0.00,1.29
Eduardo Salazar,LAD,26,1,0,0,0,2.0,3,0,3,2,0,0,0,0,0,0,0.00,2.50
Anthony Veneziano,KC,27,2,0,0,0,2.0,4,1,2,1,0,0,0,0,0,0,4.50,2.50
Tejay Antone,CIN,31,4,0,0,0,2.0,2,1,2,4,0,0,0,0,0,0,4.50,3.00
Joel Kuhnel,HOU,30,1,0,0,0,2.0,4,4,1,0,0,0,0,0,0,0,18.00,2.00
Ricky Vanasco,DET,26,2,0,0,0,2.0,0,0,0,0,0,1,0,0,0,1,0.00,0.00
Ricky Vanasco,LAD,26,2,0,0,0,2.0,3,3,1,0,0,0,0,0,0,0,13.50,1.50
Connor Brogdon,PHI,30,3,0,0,0,2.0,3,6,3,6,2,0,1,0,0,0,27.00,4.50
Zac Kristofak,LAA,27,1,0,0,0,2.0,3,0,2,2,0,0,0,0,0,0,0.00,2.50
Zach Logue,LAD,28,2,0,0,0,2.0,6,4,4,0,1,0,0,0,0,0,18.00,3.00
Dylan Dodd,ATL,26,1,0,0,0,2.0,4,2,2,1,0,0,0,0,0,0,9.00,2.50
Jake Eder,CWS,26,1,0,0,0,2.0,2,1,1,1,0,0,0,0,0,0,4.50,1.50
Ian Gibaut,CIN,31,2,0,0,0,2.0,3,1,1,1,0,0,0,0,0,0,4.50,2.00
Alex Speas,HOU,27,1,0,0,0,2.0,2,1,2,1,1,0,0,0,0,0,4.50,1.50
Alex Young,CIN,31,3,0,0,0,2.0,4,0,2,0,0,0,0,0,0,0,0.00,2.00
Brady Feigl,PIT,34,1,0,0,0,1.2,7,6,0,0,1,0,0,0,0,0,32.40,4.20
Will Klein,OAK,25,3,0,0,0,1.2,2,5,1,4,0,0,0,0,0,0,27.00,3.60
Joe Jacques,BOS,29,1,0,0,0,1.2,3,1,2,0,0,0,0,0,0,0,5.40,1.80
Eric Orze,NYM,27,2,0,0,0,1.2,3,4,1,2,1,0,1,0,0,0,21.60,3.00
Gavin Hollowell,CHC,27,1,0,0,0,1.1,2,0,1,0,0,0,0,0,0,0,0.00,1.50
Yohan Ramirez,BOS,29,1,0,0,0,1.1,3,2,1,0,0,0,0,0,0,0,13.50,2.25
Andrew Wantz,LAA,29,1,0,0,0,1.1,1,1,3,1,1,0,0,0,0,0,6.75,1.50
Joe Jacques,ARI,29,1,0,0,0,1.1,3,2,0,1,1,0,0,0,0,0,13.50,3.00
Amos Willingham,WSH,26,1,0,0,0,1.0,2,2,1,0,1,0,0,0,0,0,18.00,2.00
Nick Robertson,TOR,26,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Marc Church,TEX,23,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0.00,1.00
Anthony Misiewicz,NYY,30,1,0,0,0,1.0,2,0,1,1,0,0,0,0,0,0,0.00,3.00
Connor Brogdon,LAD,30,1,0,0,0,1.0,2,2,0,0,2,0,0,0,0,0,18.00,2.00
Lucas Gilbreath,COL,29,3,0,0,0,1.0,7,6,0,1,1,0,0,0,0,0,54.00,8.00
Raymond Burgos,SF,26,1,0,0,0,1.0,3,1,1,1,0,0,0,0,0,0,9.00,4.00
James Meeker,MIL,29,1,0,0,0,1.0,1,0,0,1,0,0,0,0,0,0,0.00,2.00
Bradley Blalock,MIL,24,1,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0.00,1.00
Andrew Saalfrank,ARI,27,2,0,0,0,1.0,2,4,0,4,0,0,0,0,0,0,36.00,6.00
Chasen Shreve,COL,34,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0.00,1.00
Matt Krook,BAL,30,1,0,0,0,1.0,1,2,2,1,1,0,0,0,0,0,18.00,2.00
Enoli Paredes,CHC,29,1,0,0,0,1.0,0,0,2,0,0,0,0,0,0,0,0.00,0.00
Matt Festa,NYM,31,1,0,0,0,1.0,4,4,1,1,0,0,1,0,0,0,36.00,5.00
Dylan Coleman,HOU,28,1,0,0,0,1.0,0,0,1,1,0,0,0,0,0,0,0.00,1.00
Adam Kloffenstein,STL,24,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0.00,0.00
Miguel Diaz,HOU,30,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Mike Baumann,SF,29,1,0,0,0,0.2,3,2,1,0,0,0,0,0,0,0,27.00,4.50
Lyon Richardson,CIN,25,1,0,0,0,0.2,2,2,1,1,1,0,0,0,0,0,27.00,4.50
Luis F. Ortiz,PHI,29,1,0,0,0,0.2,3,2,0,0,0,0,0,0,0,0,27.00,4.50
Matt Bowman,SEA,33,1,0,0,0,0.2,1,1,0,1,1,0,0,0,0,0,13.50,3.00
Walter Pennington,KC,26,1,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0.00,0.00
Evan Kravetz,CIN,28,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Evan Justice,COL,26,1,0,0,0,0.1,0,0,1,1,0,0,0,0,0,0,0.00,3.00
Clayton Andrews,NYY,28,1,0,0,0,0.1,1,1,1,0,1,0,0,0,0,0,27.00,3.00
Blair Henley,HOU,27,1,1,0,0,0.1,4,5,0,3,0,0,0,0,0,0,135.00,21.00
Matt Koch,COL,34,2,0,0,0,0.1,3,3,0,1,1,0,0,1,0,0,81.00,12.00
